date,00300_cd,00681_cd,00915_cd,00400_cd,00930_cd,80154_cd,00600_cd,00955_cd,00010_cd,00605_cd,00410_cd,00945_cd,00440_cd,00405_cd,00095_cd,00660_cd,00950_cd,71846_cd,00940_cd,00618_cd,00665_cd,70303_cd,00925_cd,00935_cd
2009-04-23,,,,,,,,,,<,,,,,,<,,<,,E,E,,,
2009-06-10,,,,,,,,,,<,,,,,,E,,<,,,<,,,
2009-08-26,,,,,,,,,,<,,,,,,<,,<,,E,<,,,
2009-11-03,,,,,,,,,,,,,,,,<,,,,,E,,,
2010-02-03,,,,,,,,,,,,,,,,E,,,,E,E,,,
2010-03-31,,,,,,,,,,<,,,,,,E,,<,,,<,,,
2010-06-10,,,,,,,,,,<,,,,,,E,,<,,,E,,,
2010-08-26,,,,,,,,,,<,,,,,,E,,<,,,E,,,
2010-10-20,,,,,,,,,,,,,,,,,,,,,<,,,
2010-12-08,,,,,,,,,,<,,,,,,,,<,,,<,,,
2011-02-16,,,,,,,,,,<,,,,,,,,<,,,<,,,
2011-04-13,,,,,,,,,,<,,,,,,,,<,,,<,,,
2011-06-22,,,,,,,,,,<,,,,,,,,<,,,<,,,
2011-08-09,,,,,,,,,,<,,,,,,,,<,,,,,,
2011-10-04,,,,,,,,,,<,,,,,,<,,<,,,,,,
2011-12-20,,,,,,<,,,,,,,,,,<,,,,,<,,,
2012-02-09,,,,,,<,,,,,,,,,,<,,<,,,<,,,
2012-04-24,,,,,,<,,,,<,,,,,,<,,<,,,<,,,
2012-06-12,,,,,,<,,,,<,,,,,,<,,<,,,<,,,
2012-08-08,,,,,,,,,,,,,,,,<,,,,,,,,
2012-11-01,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
2013-01-08,,,,,,,<,,,<,,,,,,<,,,,,<,,,
2013-03-05,,,,,,,<,,,<,,,,,,<,<,<,,,<,,,
2013-05-08,E,,,,,,,,,<,,,,,,<,,<,,,<,,,
2013-07-09,,,,,,,,,,<,,,,,,<,,<,,,,,,
2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-10,E,,,,,<,,,,,,,,,,<,,,,,<,,,
2013-11-14,,,,,,,<,,,<,,,,,,<,,<,,,<,,,
2014-01-07,,,,,,,,,,<,,,,,,,,,,,<,,,
2014-03-12,,,,,,,,,,<,,,,,,<,,<,,,<,,,
2014-04-23,,,,,,,<,,,<,,,,,,<,,<,,,<,,,
2014-05-15,,,,,,,<,,,<,,,,,,<,,<,,,<,,,
2014-07-22,,,,,,,<,,,<,,,,,,<,,<,,,<,,,
2014-09-23,,,,,,,<,,,<,,,,,,<,,<,,,<,,,
2014-11-04,,,,,,,<,,,<,,,,,,<,,<,,,<,,,
2015-01-29,,,,,,,<,,,<,,,,,,<,,,,,<,,,
2015-03-11,,,,,,,,,,<,,,,,,<,,<,,,,,,
2015-05-07,,,,,,,,,,<,,,,,,,,<,,,<,,,
2015-07-08,,,,,,,,,,<,,,,,,<,,<,,,<,,,
2015-08-31,,,,,,,,,,,,,,,,,,,,,,,,
2015-10-15,,,,,,,,,,,,,,,,<,,<,,,,,,
2015-11-09,,,,,,,,,,,,,,,,<,,<,,,,,,
2015-12-08,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-01-13,,,,,,,,,,,,,,,,,,<,,,,,,
2016-01-28,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-02-18,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-02-29,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-03-17,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-04-13,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-04-27,,,,,,,,,,,,,,,,<,,<,,,,,,
2016-05-11,,,,,,,,,,,,,,,,<,,<,,,,,,
